Channel,CellId,Type,cellIdentity,mnc,mcc,xhat1,yhat1,xhat2,yhat2,est_Lat1,est_Lon1,est_Lat2,est_Lon2,Max_cinr,Num_points,Confidence
512,42,Sector,,,,-2977.4739,-2131.5642,1522.5261,-1131.5642,38.876966,-77.075519,38.885963,-77.023494,113.00,6,High
512,44,Sector,40101,260,310,-291.8699,540.3168,208.1301,-1459.6832,38.900899,-77.048201,38.882903,-77.042421,1945.00,23,High
585,48,Sector,61133,260,310,4177.1034,959.4368,3677.1034,-3040.5632,38.905017,-76.991932,38.869026,-76.997713,84.00,5,High
